Soil	OTU_ID	Direction	baseMean	estimate	stderror	statistic	p.value	p.adjusted
Arbuckle	DQ223783.1.1545	Enriched in SI	38.1151285259487	6.75664780698628	1.14730247348536	5.75296619114184	8.76910277717838e-09	1.8890728186091e-07
Arbuckle	FPLL01008820.16.1547	Enriched in SG	52.1196070511097	-8.05448705545321	1.13553331149843	-7.04295521992832	1.8820472873381e-12	9.96700875919469e-11
Arbuckle	KJ013374.1.1531	Enriched in SI	6.7998611657673	4.41959245728975	1.27432298857916	3.37555842286474	0.000736660496311292	0.00433470134635024
Arbuckle	AY218670.1.1504	Enriched in SI	18.1779116226971	7.82050892479139	1.09781741544538	6.96303735282396	3.3301347674837e-12	1.59720803376294e-10
Arbuckle	FMTV01000021.419.1943	Enriched in SI	0.967116894931838	4.22983942308875	1.55769002455658	2.66131313800168	0.00778365314664772	0.0326502414171262
Arbuckle	FJ375396.1.1642	Enriched in SG	79.6134616616449	-3.91617098048341	0.847801882749768	-4.63116557271532	3.63612943684583e-06	4.12635760199201e-05
Arbuckle	FOBB01000022.85.1613	Enriched in SI	38.4532476280023	6.92840471763827	1.89670371469278	3.33213939438533	0.000861810777517656	0.00495721790302326
Arbuckle	FJ375388.1.1726	Enriched in SI	4.86259039676764	3.19585252545146	1.24486502060067	2.52631704516554	0.0115265407528235	0.0456109979850971
Arbuckle	KR027006.1.1391	Enriched in SI	3.88425043971936	6.76618471991077	1.25433238471084	5.25193175934988	1.50512229804282e-07	2.39126305101554e-06
Arbuckle	FPLL01006084.14.1541	Enriched in SI	1.64204954189482	4.03424863541067	1.36732333918133	2.9229344627143	0.00346749492309263	0.0165372834793648
Arbuckle	JF825494.1.1570	Enriched in SI	24.1009462015238	4.11436873190258	0.764604427165018	5.3560002520402	8.50843898377343e-08	1.4418967931168e-06
Arbuckle	ADIG01001062.61012.62536	Enriched in SI	5.15707235523462	5.26887728197482	1.30284476858792	3.98017849598995	6.88635414896798e-05	0.000541953939525591
Arbuckle	HM565023.1.1496	Enriched in SG	1.69973097837978	-4.89752435776395	1.81052923655274	-2.66927381662187	0.00760154519843393	0.0320449882162836
Arbuckle	AY212636.1.1538	Enriched in SI	12.2892025653081	4.51738009829246	1.05048433035028	4.22321178453328	2.40845305901028e-05	0.000211843864221596
Arbuckle	KM047475.1.1443	Enriched in SI	5.13783337424878	6.77720488759756	1.81759727361795	3.52240074854007	0.000427657140705034	0.00272366047465257
